[2022-06-27T10:49:04.251] [WARN] warns - Undefined path, endpoint --> (/favicon.ico) , method --> (GET)
[2022-06-27T10:49:31.745] [WARN] warns - Undefined path, endpoint --> (/xcv) , method --> (GET)
[2022-06-27T20:42:05.910] [WARN] warns - Undefined path, endpoint --> (/favicon.ico) , method --> (GET)
[2022-06-27T20:42:30.266] [WARN] warns - Undefined path, endpoint --> (/json/version) , method --> (GET)
[2022-06-27T20:42:30.298] [WARN] warns - Undefined path, endpoint --> (/json) , method --> (GET)
[2022-06-27T20:42:32.274] [WARN] warns - Undefined path, endpoint --> (/json/version) , method --> (GET)
[2022-06-27T20:42:32.285] [WARN] warns - Undefined path, endpoint --> (/json) , method --> (GET)
[2022-06-27T20:42:35.327] [WARN] warns - Undefined path, endpoint --> (/json/version) , method --> (GET)
[2022-06-27T20:42:35.337] [WARN] warns - Undefined path, endpoint --> (/json) , method --> (GET)
[2022-06-27T20:42:39.398] [WARN] warns - Undefined path, endpoint --> (/json/version) , method --> (GET)
[2022-06-27T20:42:39.408] [WARN] warns - Undefined path, endpoint --> (/json) , method --> (GET)
[2022-06-27T20:42:40.416] [WARN] warns - Undefined path, endpoint --> (/json/version) , method --> (GET)
[2022-06-27T20:42:40.428] [WARN] warns - Undefined path, endpoint --> (/json) , method --> (GET)
[2022-06-27T20:42:40.600] [WARN] warns - Undefined path, endpoint --> (/json/version) , method --> (GET)
[2022-06-27T20:42:40.615] [WARN] warns - Undefined path, endpoint --> (/json) , method --> (GET)
[2022-06-27T20:42:43.649] [WARN] warns - Undefined path, endpoint --> (/json/version) , method --> (GET)
[2022-06-27T20:42:43.654] [WARN] warns - Undefined path, endpoint --> (/json) , method --> (GET)
[2022-06-27T20:42:45.476] [WARN] warns - Undefined path, endpoint --> (/json/version) , method --> (GET)
[2022-06-27T20:42:45.482] [WARN] warns - Undefined path, endpoint --> (/json) , method --> (GET)
[2022-06-27T20:42:46.684] [WARN] warns - Undefined path, endpoint --> (/json/version) , method --> (GET)
[2022-06-27T20:42:46.695] [WARN] warns - Undefined path, endpoint --> (/json) , method --> (GET)
[2022-06-27T20:42:49.748] [WARN] warns - Undefined path, endpoint --> (/json/version) , method --> (GET)
[2022-06-27T20:42:49.758] [WARN] warns - Undefined path, endpoint --> (/json) , method --> (GET)
[2022-06-27T20:42:50.526] [WARN] warns - Undefined path, endpoint --> (/json/version) , method --> (GET)
[2022-06-27T20:42:50.534] [WARN] warns - Undefined path, endpoint --> (/json) , method --> (GET)
[2022-06-27T20:42:52.841] [WARN] warns - Undefined path, endpoint --> (/json/version) , method --> (GET)
[2022-06-27T20:42:52.846] [WARN] warns - Undefined path, endpoint --> (/json) , method --> (GET)
[2022-06-27T20:42:55.604] [WARN] warns - Undefined path, endpoint --> (/json/version) , method --> (GET)
[2022-06-27T20:42:55.615] [WARN] warns - Undefined path, endpoint --> (/json) , method --> (GET)
[2022-06-27T20:42:55.893] [WARN] warns - Undefined path, endpoint --> (/json/version) , method --> (GET)
[2022-06-27T20:42:55.904] [WARN] warns - Undefined path, endpoint --> (/json) , method --> (GET)
[2022-06-27T20:42:58.941] [WARN] warns - Undefined path, endpoint --> (/json/version) , method --> (GET)
[2022-06-27T20:42:58.947] [WARN] warns - Undefined path, endpoint --> (/json) , method --> (GET)
[2022-06-27T20:43:00.674] [WARN] warns - Undefined path, endpoint --> (/json/version) , method --> (GET)
[2022-06-27T20:43:00.684] [WARN] warns - Undefined path, endpoint --> (/json) , method --> (GET)
[2022-06-27T20:43:01.984] [WARN] warns - Undefined path, endpoint --> (/json/version) , method --> (GET)
[2022-06-27T20:43:01.990] [WARN] warns - Undefined path, endpoint --> (/json) , method --> (GET)
[2022-06-27T20:43:05.017] [WARN] warns - Undefined path, endpoint --> (/json/version) , method --> (GET)
[2022-06-27T20:43:05.029] [WARN] warns - Undefined path, endpoint --> (/json) , method --> (GET)
[2022-06-27T20:43:05.723] [WARN] warns - Undefined path, endpoint --> (/json/version) , method --> (GET)
[2022-06-27T20:43:05.727] [WARN] warns - Undefined path, endpoint --> (/json) , method --> (GET)
[2022-06-27T20:43:08.065] [WARN] warns - Undefined path, endpoint --> (/json/version) , method --> (GET)
[2022-06-27T20:43:08.076] [WARN] warns - Undefined path, endpoint --> (/json) , method --> (GET)
